,current_time,actual_consumption,actual_pv,price_buy,price_sell,grid_energy,current_charge,money_spent,money_no_batt
0,2014-08-28 21:30:00+0300,80.6056,0.0,0.049,0.031,80.6056,0.0,3.9497,3.9497
1, 2014-08-28 21:45:00+0300,77.078,0.0,0.049,0.031,77.078,0.0,7.7265,7.7265
2, 2014-08-28 22:00:00+0300,74.5128,0.0,0.049,0.031,74.5128,0.0,11.3776,11.3776
3, 2014-08-28 22:15:00+0300,63.4255,0.0,0.049,0.031,63.4255,0.0,14.4855,14.4855
4, 2014-08-28 22:30:00+0300,61.2025,0.0,0.049,0.031,61.2025,0.0,17.4844,17.4844
5, 2014-08-28 22:45:00+0300,50.8954,0.0,0.049,0.031,50.8954,0.0,19.9783,19.9783
6, 2014-08-28 23:00:00+0300,57.7782,0.0,0.049,0.031,57.7782,0.0,22.8094,22.8094
7, 2014-08-28 23:15:00+0300,57.873,0.0,0.049,0.031,57.873,0.0,25.6452,25.6452
8, 2014-08-28 23:30:00+0300,58.0092,0.0,0.049,0.031,58.0092,0.0,28.4876,28.4876
9, 2014-08-28 23:45:00+0300,49.8868,0.0,0.049,0.031,49.8868,0.0,30.9321,30.9321
10, 2014-08-29 00:00:00+0300,52.442,0.0,0.049,0.031,52.442,0.0001,33.5018,33.5017
11, 2014-08-29 00:15:00+0300,58.0703,0.0,0.049,0.031,58.0703,0.0,36.3472,36.3472
12, 2014-08-29 00:30:00+0300,54.7682,0.0,0.049,0.031,54.7682,0.0,39.0308,39.0308
13, 2014-08-29 00:45:00+0300,48.1708,0.0,0.049,0.031,48.1708,0.0,41.3912,41.3912
14, 2014-08-29 01:00:00+0300,51.9858,0.0,0.031,0.031,51.9858,14.7108,43.4828,43.0028
15, 2014-08-29 01:15:00+0300,54.7848,0.0,0.031,0.031,54.7848,32.2344,45.753,44.7011
16, 2014-08-29 01:30:00+0300,52.9484,0.0,0.031,0.031,52.9484,50.0469,47.9756,46.3425
17, 2014-08-29 01:45:00+0300,52.4415,0.0,0.031,0.031,52.4415,67.8594,50.1825,47.9682
18, 2014-08-29 02:00:00+0300,52.8162,0.0,0.031,0.031,70.0579,85.6719,52.4011,49.6055
19, 2014-08-29 02:15:00+0300,58.0318,0.0,0.031,0.031,42.4712,103.4842,54.7813,51.4045
20, 2014-08-29 02:30:00+0300,50.3477,0.0,0.031,0.031,50.3477,121.2967,56.9234,52.9653
21, 2014-08-29 02:45:00+0300,53.8481,0.0,0.031,0.031,53.8482,139.1092,59.1739,54.6345
22, 2014-08-29 03:00:00+0300,54.1396,0.0,0.031,0.031,71.7464,156.9217,61.4335,56.3129
23, 2014-08-29 03:15:00+0300,53.2965,0.0,0.031,0.031,65.061,174.7342,63.6669,57.9651
24, 2014-08-29 03:30:00+0300,52.245,0.0,0.031,0.031,65.7352,192.5467,65.8678,59.5847
25, 2014-08-29 03:45:00+0300,57.4892,0.0,0.031,0.031,76.01,210.3592,68.2312,61.3668
26, 2014-08-29 04:00:00+0300,52.8017,0.0,0.031,0.031,71.5478,228.1717,70.4493,63.0037
27, 2014-08-29 04:15:00+0300,55.0097,0.0,0.031,0.031,72.0452,245.9842,72.7358,64.709
28, 2014-08-29 04:30:00+0300,55.6707,0.0,0.031,0.031,74.4001,263.7967,75.0429,66.4348
29, 2014-08-29 04:45:00+0300,54.9742,0.0,0.031,0.031,73.7242,281.6092,77.3283,68.139
30, 2014-08-29 05:00:00+0300,53.6326,0.0,0.031,0.031,72.3826,299.4217,79.5722,69.8016
31, 2014-08-29 05:15:00+0300,50.617,0.0,0.031,0.031,69.367,300.0,81.1602,71.3707
32, 2014-08-29 05:30:00+0300,54.6841,0.0,0.031,0.031,73.4341,300.0,82.8554,73.0659
33, 2014-08-29 05:45:00+0300,54.777,0.0,0.031,0.031,73.527,300.0,84.5535,74.764
34, 2014-08-29 06:00:00+0300,54.7308,0.0,0.031,0.031,73.4808,300.0,86.2501,76.4607
35, 2014-08-29 06:15:00+0300,53.0749,0.0,0.031,0.031,71.8249,300.0,87.8954,78.106
36, 2014-08-29 06:30:00+0300,53.6552,0.0,0.031,0.031,72.4052,300.0,89.5588,79.7693
37, 2014-08-29 06:45:00+0300,56.176,0.0,0.031,0.031,74.926,300.0,91.3002,81.5107
38, 2014-08-29 07:00:00+0300,52.9605,0.0,0.031,0.031,71.7105,300.0,92.942,83.1525
39, 2014-08-29 07:15:00+0300,55.1707,0.0,0.031,0.031,67.5667,300.0,94.6523,84.8628
40, 2014-08-29 07:30:00+0300,53.9977,0.0,0.031,0.031,53.9977,300.0,96.3262,86.5367
41, 2014-08-29 07:45:00+0300,56.5062,0.9739,0.031,0.031,55.5323,300.0,98.0477,88.2582
42, 2014-08-29 08:00:00+0300,53.3121,4.3683,0.031,0.031,48.9438,300.0,99.565,89.7755
43, 2014-08-29 08:15:00+0300,51.9348,9.7616,0.031,0.031,42.1732,300.0,100.8723,91.0829
44, 2014-08-29 08:30:00+0300,53.8288,13.9918,0.031,0.031,39.8371,300.0,102.1073,92.3178
45, 2014-08-29 08:45:00+0300,60.515,13.4769,0.031,0.031,47.0381,300.0,103.5655,93.776
46, 2014-08-29 09:00:00+0300,50.6149,11.9822,0.049,0.031,38.6327,290.1942,105.002,95.669
47, 2014-08-29 09:15:00+0300,57.5223,12.8194,0.049,0.031,44.703,271.2608,106.3111,97.8594
48, 2014-08-29 09:30:00+0300,56.5719,18.3629,0.049,0.031,38.209,251.5931,107.2678,99.7317
49, 2014-08-29 09:45:00+0300,58.6957,0.1608,0.049,0.031,58.535,231.8602,109.2175,102.5999
50, 2014-08-29 10:00:00+0300,63.7843,9.7621,0.049,0.031,50.3488,212.1237,110.9458,105.247
51, 2014-08-29 10:15:00+0300,80.8662,15.6738,0.049,0.031,69.2622,192.3885,113.2216,108.4414
52, 2014-08-29 10:30:00+0300,74.4818,15.6325,0.049,0.031,58.8496,172.652,115.1865,111.325
53, 2014-08-29 10:45:00+0300,87.363,14.9754,0.049,0.031,72.3874,152.9161,117.8147,114.872
54, 2014-08-29 11:00:00+0300,87.4037,23.1398,0.049,0.031,45.5235,133.1906,120.0454,118.021
55, 2014-08-29 11:15:00+0300,78.0307,25.8226,0.049,0.031,36.8349,113.6269,121.693,120.5791
56, 2014-08-29 11:30:00+0300,88.0016,24.0633,0.049,0.031,45.2608,94.085,123.9163,123.7121
57, 2014-08-29 11:45:00+0300,98.5009,26.9477,0.049,0.031,52.8123,74.9032,126.5295,127.2182
58, 2014-08-29 12:00:00+0300,88.763,37.3258,0.049,0.031,32.7841,57.9525,128.2608,129.7387
59, 2014-08-29 12:15:00+0300,99.7683,48.4199,0.049,0.031,33.462,44.8192,130.1655,132.2547
60, 2014-08-29 12:30:00+0300,92.6893,55.0485,0.049,0.031,19.2499,33.5912,131.4873,134.0991
61, 2014-08-29 12:45:00+0300,84.521,61.2859,0.049,0.031,5.2406,24.6905,132.2115,135.2376
62, 2014-08-29 13:00:00+0300,94.0947,71.888,0.049,0.031,17.611,19.1643,133.0423,136.3258
63, 2014-08-29 13:15:00+0300,92.8105,81.4918,0.049,0.031,9.137,16.0971,133.4542,136.8804
64, 2014-08-29 13:30:00+0300,94.5773,87.5656,0.049,0.031,5.9005,14.9347,133.7436,137.224
65, 2014-08-29 13:45:00+0300,82.3076,91.6838,0.049,0.031,-9.3338,15.1739,133.4608,136.9333
66, 2014-08-29 14:00:00+0300,91.3694,87.2093,0.049,0.031,5.7817,16.7207,133.7444,137.1371
67, 2014-08-29 14:15:00+0300,90.3051,79.0351,0.049,0.031,12.654,17.0701,134.3147,137.6894
68, 2014-08-29 14:30:00+0300,93.7355,71.3417,0.049,0.031,22.5155,16.533,135.387,138.7867
69, 2014-08-29 14:45:00+0300,84.3923,71.1536,0.049,0.031,10.8804,14.8266,135.9562,139.4354
70, 2014-08-29 15:00:00+0300,91.4896,64.0415,0.049,0.031,23.5702,12.4649,137.1912,140.7803
71, 2014-08-29 15:15:00+0300,88.8798,49.9871,0.049,0.031,30.6214,3.8374,138.6954,142.6861
72, 2014-08-29 15:30:00+0300,92.1658,37.1584,0.049,0.031,40.5817,0.0,141.2121,145.3814
73, 2014-08-29 15:45:00+0300,82.432,33.3609,0.049,0.031,32.5877,0.0,143.6166,147.7859
74, 2014-08-29 16:00:00+0300,90.3063,34.9629,0.049,0.031,41.5024,0.0,146.3284,150.4977
75, 2014-08-29 16:15:00+0300,92.7461,45.546,0.049,0.031,40.7791,0.0001,148.6412,152.8105
76, 2014-08-29 16:30:00+0300,95.4397,72.4361,0.049,0.031,20.6562,0.0002,149.7684,153.9377
77, 2014-08-29 16:45:00+0300,79.3593,97.0978,0.049,0.031,-14.6703,4.0012,149.3491,153.3878
78, 2014-08-29 17:00:00+0300,92.1279,94.0522,0.049,0.031,8.0306,13.3253,149.7357,153.3282
79, 2014-08-29 17:15:00+0300,93.4068,95.0821,0.049,0.031,13.9528,28.4405,150.4332,153.2762
80, 2014-08-29 17:30:00+0300,96.4572,102.7942,0.049,0.031,7.5451,43.0753,150.8776,153.0798
81, 2014-08-29 17:45:00+0300,89.2602,100.7806,0.049,0.031,-5.1316,49.9714,150.7455,152.7227
82, 2014-08-29 18:00:00+0300,88.7959,67.3743,0.049,0.031,19.7598,47.6904,151.689,153.7723
83, 2014-08-29 18:15:00+0300,93.8218,33.0877,0.049,0.031,52.4338,37.7295,154.2012,156.7483
84, 2014-08-29 18:30:00+0300,89.9532,27.0437,0.049,0.031,55.1924,28.2102,156.8407,159.8309
85, 2014-08-29 18:45:00+0300,91.7021,31.3403,0.049,0.031,55.3211,22.7325,159.5434,162.7886
86, 2014-08-29 19:00:00+0300,86.9476,31.9328,0.049,0.031,51.1374,17.8851,162.0135,165.4843
87, 2014-08-29 19:15:00+0300,87.8276,43.5155,0.049,0.031,40.7697,14.1394,164.0104,167.6556
88, 2014-08-29 19:30:00+0300,86.5156,51.2844,0.049,0.031,32.5496,11.2874,165.604,169.3819
89, 2014-08-29 19:45:00+0300,79.8718,45.6233,0.049,0.031,31.7994,9.2723,167.1884,171.0601
90, 2014-08-29 20:00:00+0300,84.62,49.7225,0.049,0.031,31.9591,6.696,168.7784,172.7701
91, 2014-08-29 20:15:00+0300,79.6253,49.2272,0.049,0.031,28.2181,4.2167,170.1525,174.2596
92, 2014-08-29 20:30:00+0300,84.5193,35.9303,0.049,0.031,44.3168,0.0032,172.3373,176.6405
93, 2014-08-29 20:45:00+0300,75.9925,14.8124,0.049,0.031,57.7518,0.0021,175.335,179.6383
94, 2014-08-29 21:00:00+0300,78.0636,2.4102,0.049,0.031,68.1232,0.0062,179.0423,183.3453
95, 2014-08-29 21:15:00+0300,72.8641,0.0,0.049,0.031,54.232,0.0,182.6123,186.9156
96, 2014-08-29 21:30:00+0300,77.7302,0.0,0.049,0.031,61.2936,0.0,186.4211,190.7244
97, 2014-08-29 21:45:00+0300,78.2727,0.0,0.049,0.031,67.7741,0.0,190.2564,194.5598
98, 2014-08-29 22:00:00+0300,69.3019,0.0,0.049,0.031,58.8699,0.0,193.6522,197.9556
99, 2014-08-29 22:15:00+0300,55.9415,0.0,0.049,0.031,55.9192,0.0,196.3934,200.6967
100, 2014-08-29 22:30:00+0300,63.3859,0.0,0.049,0.031,63.3859,0.0,199.4993,203.8026
101, 2014-08-29 22:45:00+0300,56.078,0.0,0.049,0.031,56.078,0.0,202.2471,206.5504
102, 2014-08-29 23:00:00+0300,55.9105,0.0,0.049,0.031,55.9105,0.0,204.9867,209.29
103, 2014-08-29 23:15:00+0300,52.2051,0.0,0.049,0.031,52.2051,0.0,207.5448,211.8481
104, 2014-08-29 23:30:00+0300,58.3708,0.0,0.049,0.031,58.3708,0.0,210.4049,214.7083
105, 2014-08-29 23:45:00+0300,54.3711,0.0,0.049,0.031,54.3711,0.0,213.0691,217.3724
106, 2014-08-30 00:00:00+0300,54.0588,0.0,0.049,0.031,54.0588,0.0,215.718,220.0213
107, 2014-08-30 00:15:00+0300,49.1506,0.0,0.049,0.031,49.1506,0.0,218.1264,222.4297
108, 2014-08-30 00:30:00+0300,53.8751,0.0,0.049,0.031,53.8751,0.0,220.7663,225.0696
109, 2014-08-30 00:45:00+0300,55.2902,0.0,0.049,0.031,55.2902,0.0,223.4755,227.7788
110, 2014-08-30 01:00:00+0300,54.379,0.0,0.031,0.031,54.379,15.1886,225.6569,229.4646
111, 2014-08-30 01:15:00+0300,50.1553,0.0,0.031,0.031,50.1553,26.102,227.5678,231.0194
112, 2014-08-30 01:30:00+0300,54.0677,0.0,0.031,0.031,54.0677,39.4523,229.6795,232.6955
113, 2014-08-30 01:45:00+0300,54.8699,0.0,0.031,0.031,54.8699,56.9626,231.9519,234.3964
114, 2014-08-30 02:00:00+0300,52.8426,0.0,0.031,0.031,52.8426,74.6948,234.1686,236.0346
115, 2014-08-30 02:15:00+0300,54.2579,0.0,0.031,0.031,54.2579,91.3035,236.3926,237.7166
116, 2014-08-30 02:30:00+0300,53.1445,0.0,0.031,0.031,53.1445,109.1086,238.6211,239.364
117, 2014-08-30 02:45:00+0300,51.1926,0.0,0.031,0.031,51.1926,126.9211,240.7893,240.951
118, 2014-08-30 03:00:00+0300,54.7887,0.0,0.031,0.031,54.7888,144.7334,243.069,242.6495
119, 2014-08-30 03:15:00+0300,53.4703,0.0,0.031,0.031,53.4703,162.5397,245.3076,244.307
120, 2014-08-30 03:30:00+0300,52.7365,0.0,0.031,0.031,52.7365,180.3522,247.5237,245.9419
121, 2014-08-30 03:45:00+0300,52.1006,0.0,0.031,0.031,52.1006,198.1647,249.7201,247.557
122, 2014-08-30 04:00:00+0300,56.2997,0.0,0.031,0.031,56.3,215.9772,252.0466,249.3023
123, 2014-08-30 04:15:00+0300,51.9222,0.0,0.031,0.031,53.0419,233.7897,254.2375,250.9119
124, 2014-08-30 04:30:00+0300,52.8998,0.0,0.031,0.031,53.5541,251.6022,256.4586,252.5518
125, 2014-08-30 04:45:00+0300,51.5862,0.0,0.031,0.031,54.0802,269.4147,258.639,254.1509
126, 2014-08-30 05:00:00+0300,53.848,0.0,0.031,0.031,59.6004,287.2272,260.8896,255.8202
127, 2014-08-30 05:15:00+0300,54.9705,0.0,0.031,0.031,72.77,300.0,263.0105,257.5243
128, 2014-08-30 05:30:00+0300,52.7453,0.0,0.031,0.031,71.4952,300.0,264.6456,259.1594
129, 2014-08-30 05:45:00+0300,54.3098,0.0,0.031,0.031,73.0598,300.0,266.3292,260.843
130, 2014-08-30 06:00:00+0300,52.4996,0.0,0.031,0.031,71.2495,300.0,267.9566,262.4705
131, 2014-08-30 06:15:00+0300,55.8271,0.0,0.031,0.031,74.5771,300.0,269.6873,264.2011
132, 2014-08-30 06:30:00+0300,52.3612,0.0,0.031,0.031,71.1112,300.0,271.3105,265.8243
133, 2014-08-30 06:45:00+0300,54.3322,0.0,0.031,0.031,73.0822,300.0,272.9948,267.5086
134, 2014-08-30 07:00:00+0300,53.9472,0.0,0.031,0.031,72.6972,300.0,274.6671,269.181
135, 2014-08-30 07:15:00+0300,54.8853,0.0,0.031,0.031,73.6353,300.0,276.3686,270.8824
136, 2014-08-30 07:30:00+0300,53.2331,0.0,0.031,0.031,71.9831,300.0,278.0188,272.5327
137, 2014-08-30 07:45:00+0300,53.689,0.785,0.031,0.031,71.654,300.0,279.6588,274.1727
138, 2014-08-30 08:00:00+0300,54.0955,1.8789,0.031,0.031,70.9666,300.0,281.2776,275.7914
139, 2014-08-30 08:15:00+0300,57.8943,6.419,0.031,0.031,70.2253,299.9998,282.8733,277.3871
140, 2014-08-30 08:30:00+0300,52.8705,12.146,0.031,0.031,59.4745,299.9995,284.1357,278.6496
141, 2014-08-30 08:45:00+0300,54.0883,11.2471,0.031,0.031,61.5912,299.9951,285.4637,279.9777
142, 2014-08-30 09:00:00+0300,51.8382,9.9675,0.049,0.031,60.6148,280.2582,286.5966,282.0293
143, 2014-08-30 09:15:00+0300,55.0495,15.9068,0.049,0.031,45.868,260.5214,287.5958,283.9473
144, 2014-08-30 09:30:00+0300,52.1751,17.6041,0.049,0.031,34.5711,240.7846,288.3711,285.6413
145, 2014-08-30 09:45:00+0300,51.6078,6.0916,0.049,0.031,45.516,221.0477,289.6826,287.8716
146, 2014-08-30 10:00:00+0300,53.9963,9.5069,0.049,0.031,25.7394,201.3109,290.9438,290.0516
147, 2014-08-30 10:15:00+0300,55.7354,14.2346,0.049,0.031,39.5055,181.574,292.0586,292.0851
148, 2014-08-30 10:30:00+0300,52.8966,20.1234,0.049,0.031,49.121,161.8372,292.7458,293.691
149, 2014-08-30 10:45:00+0300,51.818,24.2344,0.049,0.031,16.3833,142.1003,293.1786,295.0426
150, 2014-08-30 11:00:00+0300,53.445,28.0425,0.049,0.031,6.6525,122.3635,293.5046,296.2873
151, 2014-08-30 11:15:00+0300,55.6337,33.7193,0.049,0.031,3.2654,102.6378,293.6602,297.3611
152, 2014-08-30 11:30:00+0300,53.833,36.8243,0.049,0.031,-0.6708,83.3737,293.6201,298.1946
153, 2014-08-30 11:45:00+0300,52.5402,42.9221,0.049,0.031,-4.0439,70.2983,293.5332,298.6658
154, 2014-08-30 12:00:00+0300,54.0385,53.1367,0.049,0.031,-7.3312,63.9902,293.3754,298.71
155, 2014-08-30 12:15:00+0300,55.1961,60.6517,0.049,0.031,-5.0466,64.1536,293.2116,298.5409
156, 2014-08-30 12:30:00+0300,52.8674,66.1452,0.049,0.031,-12.2554,64.8309,292.8221,298.1293
157, 2014-08-30 12:45:00+0300,53.4751,71.2106,0.049,0.031,-15.8628,66.118,292.3143,297.5795
158, 2014-08-30 13:00:00+0300,54.7319,77.1965,0.049,0.031,-21.017,67.2713,291.6555,296.8831
159, 2014-08-30 13:15:00+0300,52.6728,82.3514,0.049,0.031,-25.0813,74.6588,290.9765,295.9631
160, 2014-08-30 13:30:00+0300,53.3044,88.3004,0.049,0.031,-31.4042,81.0163,290.0991,294.8782
161, 2014-08-30 13:45:00+0300,57.6929,91.4105,0.049,0.031,-29.5237,89.2853,289.3237,293.8329
162, 2014-08-30 14:00:00+0300,52.5045,95.8145,0.049,0.031,-39.1047,99.9529,288.3292,292.4903
163, 2014-08-30 14:15:00+0300,56.9824,101.4542,0.049,0.031,-30.6854,116.5883,287.4934,291.1117
164, 2014-08-30 14:30:00+0300,56.1828,105.1508,0.049,0.031,-36.6624,134.0012,286.5436,289.5937
165, 2014-08-30 14:45:00+0300,49.8248,108.1459,0.049,0.031,-45.1539,151.7524,285.3149,287.7857
166, 2014-08-30 15:00:00+0300,53.8102,110.7382,0.049,0.031,-41.1052,169.5498,284.1309,286.021
167, 2014-08-30 15:15:00+0300,56.6488,112.8656,0.049,0.031,-37.7525,187.3622,282.9694,284.2783
168, 2014-08-30 15:30:00+0300,54.3882,114.5289,0.049,0.031,-50.6886,205.1644,281.686,282.4139
169, 2014-08-30 15:45:00+0300,55.1727,115.6008,0.049,0.031,-60.4282,222.9584,280.3933,280.5406
170, 2014-08-30 16:00:00+0300,56.009,116.057,0.049,0.031,-60.048,240.7589,279.1127,278.6791
171, 2014-08-30 16:15:00+0300,49.4351,116.128,0.049,0.031,-66.6929,258.5714,277.6265,276.6117
172, 2014-08-30 16:30:00+0300,54.7832,120.719,0.049,0.031,-65.9359,276.3839,276.1637,274.5676
173, 2014-08-30 16:45:00+0300,60.3938,124.7703,0.049,0.031,-64.3765,294.1964,274.7493,272.572
174, 2014-08-30 17:00:00+0300,52.7638,125.384,0.049,0.031,-72.6202,300.0,272.6874,270.3207
175, 2014-08-30 17:15:00+0300,49.9799,124.4233,0.049,0.031,-74.4435,300.0,270.3797,268.013
176, 2014-08-30 17:30:00+0300,57.0617,122.8739,0.049,0.031,-65.8122,300.0,268.3395,265.9728
177, 2014-08-30 17:45:00+0300,49.3844,120.6213,0.049,0.031,-71.2369,300.0,266.1312,263.7645
178, 2014-08-30 18:00:00+0300,54.3533,117.7167,0.049,0.031,-63.3634,300.0,264.1669,261.8002
179, 2014-08-30 18:15:00+0300,53.8827,114.1133,0.049,0.031,-60.2307,300.0,262.2998,259.9331
180, 2014-08-30 18:30:00+0300,56.1604,109.6494,0.049,0.031,-53.489,300.0,260.6416,258.2749
181, 2014-08-30 18:45:00+0300,51.4321,104.2611,0.049,0.031,-52.829,300.0,259.0039,256.6372
182, 2014-08-30 19:00:00+0300,54.4384,97.9243,0.049,0.031,-43.486,300.0,257.6558,255.2891
183, 2014-08-30 19:15:00+0300,56.7895,90.3256,0.049,0.031,-33.5361,300.0,256.6162,254.2495
184, 2014-08-30 19:30:00+0300,54.6458,81.3832,0.049,0.031,-26.7374,300.0,255.7874,253.4207
185, 2014-08-30 19:45:00+0300,52.8587,72.2054,0.049,0.031,-19.3467,299.9999,255.1876,252.8209
186, 2014-08-30 20:00:00+0300,53.0501,61.2288,0.049,0.031,-8.1787,299.9995,254.9341,252.5674
187, 2014-08-30 20:15:00+0300,53.6435,32.4222,0.049,0.031,15.0034,280.515,255.0669,253.6072
188, 2014-08-30 20:30:00+0300,54.8683,10.0184,0.049,0.031,27.0881,260.7782,256.3458,255.8049
189, 2014-08-30 20:45:00+0300,55.8783,3.5905,0.049,0.031,33.5407,241.0413,257.9891,258.367
190, 2014-08-30 21:00:00+0300,50.9077,0.9167,0.049,0.031,31.2413,221.3045,259.52,260.8165
191, 2014-08-30 21:15:00+0300,53.1879,0.0,0.049,0.031,34.4379,201.5676,261.2074,263.4227
192, 2014-08-30 21:30:00+0300,59.5586,0.0,0.049,0.031,40.8086,181.8308,263.207,266.3411
193, 2014-08-30 21:45:00+0300,41.1092,0.0,0.049,0.031,22.3592,162.094,264.3026,268.3554
